"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"LDHB","LDHB","Bivariate model, Reitsma 2005",0.648,0.468,0.795,0.656,0.504,0.782,3.63,3.52,2.18,5.71,1.9,1.87,1.46,2.51,0.541,0.539,0.367,0.726,0.696,"Univariate model, Glas 2003",4.182,2.125,8.231,1.431,0.754,2.108,0.381,0,15.439,0.617,0,3.929,30.207,10.03,0.187,7,8
"P4HB","P4HB","Bivariate model, Reitsma 2005",0.827,0.713,0.902,0.473,0.297,0.656,4.55,4.31,2.23,8.29,1.61,1.56,1.22,2.25,0.378,0.37,0.232,0.574,0.738,"Univariate model, Glas 2003",7.206,2.566,20.24,1.975,0.942,3.008,0.513,0,18.705,0.716,0,4.325,5.108,4.215,0.378,4,5
"CAPN1","CAPN1","Bivariate model, Reitsma 2005",0.843,0.535,0.961,0.769,0.197,0.978,155,17.8,0.303,1050,8.22,3.63,0.684,44.2,0.436,0.207,0.04,2.25,0.877,"Univariate model, Glas 2003",17.463,0.301,1012.774,2.86,-1.2,6.92,7.263,0,9140.773,2.695,0,95.607,0,1,0.317,1,2
"PFN1","PFN1","Bivariate model, Reitsma 2005",0.749,0.64,0.834,0.568,0.391,0.73,4.06,3.93,2.38,6.5,1.78,1.73,1.31,2.52,0.45,0.447,0.336,0.584,0.73,"Univariate model, Glas 2003",3.879,2.184,6.889,1.356,0.781,1.93,0.165,0,3.345,0.406,0,1.829,0.496,6.03,0.42,6,8
"HSP90AA1","HSP90AA1","Bivariate model, Reitsma 2005",0.836,0.551,0.955,0.799,0.457,0.95,33.4,20.3,2.87,143,5.19,4.03,1.48,15.8,0.247,0.215,0.059,0.609,0.886,"Univariate model, Glas 2003",20.8,3.702,116.876,3.035,1.309,4.761,1.638,0,76.725,1.28,0,8.759,23.02,3.897,0.273,3,4
"RNASE1","RNASE1","Bivariate model, Reitsma 2005",0.555,0.361,0.734,0.715,0.515,0.856,3.25,3.14,1.84,5.33,1.99,1.93,1.36,2.97,0.628,0.629,0.453,0.799,0.679,"Univariate model, Glas 2003",3.344,1.957,5.715,1.207,0.671,1.743,0,0,0.036,0,0,0.19,0,0.899,0.97,5,6
"HSP90AB1","HSP90AB1","Bivariate model, Reitsma 2005",0.837,0.417,0.974,0.715,0.268,0.945,15,12.9,4.37,38.1,3.49,2.85,1.3,9.37,0.272,0.24,0.072,0.642,0.847,"Univariate model, Glas 2003",18.286,3.341,100.081,2.906,1.206,4.606,1.04,0,254.023,1.02,0,15.938,27.956,2.776,0.25,2,3
"ELANE","ELANE","Bivariate model, Reitsma 2005",0.669,0.586,0.743,0.526,0.415,0.634,2.34,2.24,1.27,3.97,1.43,1.41,1.1,1.86,0.64,0.631,0.459,0.871,0.552,"Univariate model, Glas 2003",2.156,1.156,4.023,0.768,0.145,1.392,0,0,50.538,0,0,7.109,0,0.245,0.621,1,2
"SOD3","SOD3","Bivariate model, Reitsma 2005",0.593,0.466,0.709,0.789,0.592,0.906,5.83,5.47,2.7,11.1,3,2.8,1.62,5.51,0.525,0.523,0.411,0.646,0.71,"Univariate model, Glas 2003",5.911,2.543,13.742,1.777,0.933,2.62,0.449,0,8.155,0.67,0,2.856,0,5.972,0.426,6,7
"MGP","MGP","Bivariate model, Reitsma 2005",0.484,0.406,0.562,0.775,0.641,0.869,3.45,3.22,1.56,6.66,2.24,2.14,1.3,3.76,0.675,0.669,0.544,0.842,0.539,"Univariate model, Glas 2003",3.965,1.493,10.535,1.378,0.4,2.355,0.247,0,25.764,0.497,0,5.076,0,2.932,0.402,3,4
"ITGA2B","ITGA2B","Bivariate model, Reitsma 2005",0.759,0.642,0.846,0.502,0.39,0.614,3.32,3.17,1.77,5.67,1.53,1.52,1.23,1.92,0.49,0.482,0.317,0.707,0.617,"Univariate model, Glas 2003",3.071,1.784,5.287,1.122,0.579,1.665,0,0,7.77,0,0,2.787,0,2.915,0.405,3,4
"PLEK","PLEK","Bivariate model, Reitsma 2005",0.741,0.542,0.874,0.554,0.391,0.706,3.75,3.55,1.87,6.74,1.67,1.64,1.29,2.21,0.479,0.472,0.273,0.729,0.666,"Univariate model, Glas 2003",3.484,1.99,6.101,1.248,0.688,1.808,0,0,4.915,0,0,2.217,0,3.851,0.426,4,5
"CD14","CD14","Bivariate model, Reitsma 2005",0.765,0.62,0.867,0.769,0.644,0.859,11.6,10.8,5.11,22.8,3.38,3.27,2.18,5.2,0.315,0.308,0.181,0.486,0.832,"Univariate model, Glas 2003",11.721,5.55,24.753,2.461,1.714,3.209,0.937,0,2.806,0.968,0,1.675,0,8.275,0.507,9,10
"DBH","DBH","Bivariate model, Reitsma 2005",0.628,0.424,0.795,0.791,0.607,0.903,7.6,6.39,2.01,20.3,3.22,2.96,1.48,6.5,0.486,0.477,0.262,0.765,0.776,"Univariate model, Glas 2003",5.742,2.213,14.895,1.748,0.795,2.701,1.176,0,18.844,1.085,0,4.341,42.532,12.181,0.095,7,8
"SPARC","SPARC","Bivariate model, Reitsma 2005",0.591,0.406,0.753,0.602,0.419,0.76,2.25,2.18,1.37,3.48,1.5,1.47,1.16,1.99,0.686,0.686,0.506,0.868,0.624,"Univariate model, Glas 2003",2.243,1.406,3.579,0.808,0.341,1.275,0,0,6.647,0,0,2.578,0,3.512,0.622,5,6
"TPM1","TPM1","Bivariate model, Reitsma 2005",0.645,0.562,0.721,0.817,0.451,0.96,12,8.12,1.44,45.8,4.82,3.51,1.16,16.3,0.471,0.441,0.322,0.808,0.639,"Univariate model, Glas 2003",9.055,1.404,58.4,2.203,0.339,4.067,1.492,0,97.645,1.222,0,9.882,0,1.698,0.428,2,3
"LTA4H","LTA4H","Bivariate model, Reitsma 2005",0.749,0.369,0.939,0.837,0.609,0.944,35.6,15.3,1.2,194,5.49,4.49,1.12,15.7,0.356,0.303,0.068,0.935,0.87,"Univariate model, Glas 2003",10.506,1.732,63.712,2.352,0.549,4.154,2.251,0,101.888,1.5,0,10.094,44.608,5.416,0.144,3,4
"C4B","C4B","Bivariate model, Reitsma 2005",0.461,0.374,0.55,0.864,0.776,0.922,5.63,5.45,3.31,8.96,3.49,3.39,2.22,5.37,0.626,0.627,0.541,0.709,0.69,"Univariate model, Glas 2003",5.614,3.561,8.852,1.725,1.27,2.181,0,0,0.82,0,0,0.905,0,3.222,0.864,7,8
"IGLC2","IGLC2","Bivariate model, Reitsma 2005",0.538,0.339,0.725,0.645,0.487,0.776,2.2,2.11,1.19,3.75,1.52,1.5,1.11,2.05,0.72,0.721,0.495,0.938,0.631,"Univariate model, Glas 2003",2.113,1.259,3.547,0.748,0.23,1.266,0,0,1.801,0,0,1.342,0,0.502,0.778,2,3
"IGKV1D-13","IGKV1D-13","Bivariate model, Reitsma 2005",0.601,0.411,0.765,0.652,0.381,0.851,2.96,2.82,1.51,5.25,1.81,1.71,1.16,3.04,0.628,0.626,0.476,0.797,0.655,"Univariate model, Glas 2003",2.625,1.542,4.469,0.965,0.433,1.497,0,0,7.265,0,0,2.695,0,1.487,0.685,3,4
"SRGN","SRGN","Bivariate model, Reitsma 2005",0.585,0.444,0.714,0.748,0.618,0.845,4.32,4.18,2.53,6.92,2.36,2.3,1.66,3.35,0.559,0.558,0.416,0.706,0.722,"Univariate model, Glas 2003",4.165,2.478,6.999,1.427,0.908,1.946,0,0,1.006,0,0,1.003,0,2.832,0.726,5,6
"TXN","TXN","Bivariate model, Reitsma 2005",0.686,0.426,0.865,0.676,0.56,0.774,5.8,4.56,1.18,17.7,2.16,2.1,1.1,3.52,0.491,0.466,0.187,0.933,0.705,"Univariate model, Glas 2003",6.753,1.739,26.222,1.91,0.553,3.267,1.35,0,24.463,1.162,0,4.946,2.694,4.111,0.391,4,5
"CHGA","CHGA","Bivariate model, Reitsma 2005",0.66,0.406,0.847,0.742,0.438,0.913,6.07,5.58,2.5,12.4,2.76,2.51,1.41,5.55,0.475,0.471,0.278,0.698,0.752,"Univariate model, Glas 2003",4.935,2.268,10.739,1.596,0.819,2.374,0,0,0.686,0,0,0.828,0,0.736,0.947,4,5
"HSPD1","HSPD1","Bivariate model, Reitsma 2005",0.853,0.782,0.904,0.699,0.537,0.823,14.8,13.5,5.81,31.4,2.95,2.82,1.82,4.83,0.218,0.212,0.133,0.336,0.863,"Univariate model, Glas 2003",13.758,5.889,32.145,2.622,1.773,3.47,0,0,24.519,0,0,4.952,0,0.483,0.786,2,3
"HSPA5","HSPA5","Bivariate model, Reitsma 2005",0.608,0.416,0.772,0.663,0.466,0.816,3.2,3.05,1.69,5.52,1.84,1.78,1.28,2.73,0.6,0.598,0.41,0.799,0.676,"Univariate model, Glas 2003",3.492,1.931,6.313,1.25,0.658,1.843,0.135,0,3.501,0.367,0,1.871,0,5.623,0.467,6,7
"HSPA8","HSPA8","Bivariate model, Reitsma 2005",0.833,0.69,0.918,0.605,0.444,0.746,9.65,7.64,2,29.2,2.18,2.1,1.29,3.53,0.304,0.277,0.115,0.651,0.763,"Univariate model, Glas 2003",7.331,2.18,24.659,1.992,0.779,3.205,1.155,0,48.702,1.074,0,6.979,46.776,7.515,0.111,4,5
"MBL2","MBL2","Bivariate model, Reitsma 2005",0.498,0.338,0.658,0.767,0.674,0.84,3.61,3.27,1.39,7.74,2.2,2.13,1.24,3.53,0.659,0.656,0.436,0.901,0.732,"Univariate model, Glas 2003",3.502,1.677,7.316,1.253,0.517,1.99,0.892,0,8.716,0.944,0,2.952,27.216,12.365,0.193,9,10
"CETP","CETP","Bivariate model, Reitsma 2005",0.78,0.601,0.894,0.675,0.576,0.76,8.4,7.38,2.73,19.9,2.41,2.38,1.63,3.39,0.342,0.326,0.155,0.613,0.719,"Univariate model, Glas 2003",8.394,2.654,26.55,2.127,0.976,3.279,1.12,0,20.616,1.058,0,4.54,13.699,4.635,0.327,4,5
"ACTN1","ACTN1","Bivariate model, Reitsma 2005",0.674,0.509,0.804,0.6,0.447,0.736,3.22,3.1,1.77,5.42,1.7,1.67,1.29,2.29,0.552,0.548,0.37,0.757,0.668,"Univariate model, Glas 2003",3.154,1.852,5.373,1.149,0.616,1.681,0,0,4.476,0,0,2.116,0,3.126,0.537,4,5
"PEPD","PEPD","Bivariate model, Reitsma 2005",0.844,0.778,0.893,0.492,0.387,0.598,5.51,5.25,2.84,9.68,1.68,1.66,1.35,2.11,0.325,0.318,0.206,0.486,0.825,"Univariate model, Glas 2003",4.903,2.559,9.395,1.59,0.939,2.24,0,0,22.75,0,0,4.77,0,1.335,0.513,2,3
"LAMP2","LAMP2","Bivariate model, Reitsma 2005",0.803,0.723,0.865,0.501,0.204,0.798,5.38,4.1,0.972,17.3,1.83,1.61,0.994,3.97,0.452,0.396,0.213,1.02,0.795,"Univariate model, Glas 2003",3.718,1.031,13.408,1.313,0.031,2.596,0.395,0,1186.228,0.628,0,34.442,0,1,0.317,1,2
"EEF2","EEF2","Bivariate model, Reitsma 2005",0.804,0.696,0.879,0.725,0.554,0.848,12.7,10.8,3.49,33.2,3.09,2.91,1.67,5.53,0.286,0.273,0.152,0.492,0.835,"Univariate model, Glas 2003",10.758,3.258,35.524,2.376,1.181,3.57,0.569,0,29.71,0.754,0,5.451,0,2.998,0.392,3,4
"LCP1","LCP1","Bivariate model, Reitsma 2005",0.709,0.552,0.829,0.705,0.578,0.807,6.01,5.85,3.7,9.23,2.42,2.39,1.84,3.21,0.418,0.414,0.276,0.581,0.762,"Univariate model, Glas 2003",7.588,3.826,15.05,2.027,1.342,2.711,0.426,0,15.844,0.653,0,3.98,31.874,10.275,0.174,7,8
"NID1","NID1","Bivariate model, Reitsma 2005",0.645,0.306,0.882,0.645,0.468,0.789,3.74,3.3,1.22,8.86,1.77,1.76,1.14,2.46,0.563,0.555,0.226,0.941,0.677,"Univariate model, Glas 2003",5.41,1.696,17.253,1.688,0.529,2.848,0.655,0,110.812,0.809,0,10.527,45.564,5.511,0.138,3,4
"ANPEP","ANPEP","Bivariate model, Reitsma 2005",0.719,0.552,0.842,0.649,0.476,0.79,4.93,4.73,2.69,8.31,2.08,2.03,1.49,2.99,0.442,0.437,0.285,0.623,0.735,"Univariate model, Glas 2003",4.973,2.793,8.854,1.604,1.027,2.181,0,0,4.256,0,0,2.063,0,5.392,0.495,6,7
"B4GALT1","B4GALT1","Bivariate model, Reitsma 2005",0.515,0.421,0.607,0.857,0.566,0.965,8.21,6.34,1.55,25.9,4.55,3.58,1.26,13.7,0.592,0.577,0.468,0.813,0.57,"Univariate model, Glas 2003",6.83,1.407,33.165,1.921,0.341,3.501,1.175,0,29.068,1.084,0,5.391,0,2.408,0.492,3,4
"IGLL1","IGLL1","Bivariate model, Reitsma 2005",0.617,0.506,0.718,0.595,0.423,0.747,2.44,2.38,1.52,3.7,1.56,1.52,1.18,2.14,0.651,0.647,0.538,0.787,0.638,"Univariate model, Glas 2003",2.68,1.585,4.531,0.986,0.461,1.511,0.232,0,5.559,0.482,0,2.358,20.423,8.796,0.268,7,8
"CD44","CD44","Bivariate model, Reitsma 2005",0.651,0.573,0.721,0.754,0.574,0.875,6.05,5.72,2.98,11,2.79,2.64,1.63,4.82,0.471,0.468,0.394,0.564,0.71,"Univariate model, Glas 2003",5.234,2.819,9.716,1.655,1.036,2.274,0.385,0,3.297,0.621,0,1.816,2.054,7.147,0.414,7,8
"ANK1","ANK1","Bivariate model, Reitsma 2005",0.449,0.282,0.629,0.796,0.443,0.951,3.69,3.18,1.09,9.27,2.58,2.19,1.04,6.41,0.723,0.713,0.578,0.954,0.589,"Univariate model, Glas 2003",2.908,1.064,7.949,1.068,0.062,2.073,0.288,0,51.481,0.537,0,7.175,0,1.88,0.391,2,3
"FAH","FAH","Bivariate model, Reitsma 2005",0.85,0.734,0.921,0.452,0.256,0.664,5.05,4.67,2.14,10.2,1.6,1.54,1.18,2.38,0.35,0.338,0.196,0.575,0.767,"Univariate model, Glas 2003",4.3,1.992,9.286,1.459,0.689,2.228,0,0,12.849,0,0,3.585,0,2.682,0.443,3,4
"HSPA6","HSPA6","Bivariate model, Reitsma 2005",0.684,0.409,0.871,0.801,0.5,0.942,10,8.68,3.03,24.9,3.84,3.34,1.57,9.01,0.416,0.407,0.201,0.677,0.809,"Univariate model, Glas 2003",10.501,3.574,30.847,2.351,1.274,3.429,0,0,9.549,0,0,3.09,0,1.482,0.686,3,4
"IGFBP2","IGFBP2","Bivariate model, Reitsma 2005",0.678,0.532,0.796,0.545,0.353,0.724,2.59,2.52,1.58,4.02,1.52,1.48,1.17,2.09,0.602,0.599,0.46,0.763,0.655,"Univariate model, Glas 2003",2.576,1.576,4.212,0.946,0.455,1.438,0.057,0,4.711,0.239,0,2.17,5.726,6.364,0.384,6,7
"VCL","VCL","Bivariate model, Reitsma 2005",0.706,0.643,0.762,0.53,0.35,0.702,2.87,2.71,1.37,5.34,1.55,1.5,1.11,2.3,0.572,0.557,0.418,0.81,0.699,"Univariate model, Glas 2003",3.191,1.396,7.296,1.16,0.333,1.987,0.553,0,22.018,0.743,0,4.692,38.953,8.19,0.146,5,6
"IGFBP4","IGFBP4","Bivariate model, Reitsma 2005",0.738,0.484,0.894,0.587,0.353,0.788,4.15,4,2.37,6.75,1.81,1.76,1.33,2.56,0.459,0.452,0.264,0.692,0.705,"Univariate model, Glas 2003",3.945,2.405,6.473,1.373,0.877,1.868,0,0,1.235,0,0,1.111,0,2.193,0.822,5,6
"IGHV1-2","IGHV1-2","Bivariate model, Reitsma 2005",0.59,0.383,0.769,0.767,0.534,0.904,4.92,4.73,2.75,8.14,2.64,2.51,1.57,4.46,0.543,0.542,0.386,0.706,0.724,"Univariate model, Glas 2003",4.705,2.868,7.719,1.549,1.053,2.044,0.054,0,1.348,0.232,0,1.161,0,6.51,0.482,7,8
"PPIB","PPIB","Bivariate model, Reitsma 2005",0.646,0.323,0.875,0.701,0.458,0.867,4.73,4.29,1.8,10.2,2.18,2.08,1.37,3.5,0.519,0.512,0.233,0.838,0.728,"Univariate model, Glas 2003",4.66,2.147,10.117,1.539,0.764,2.314,0,0,35.484,0,0,5.957,0,1.866,0.393,2,3
"WARS","WARS","Bivariate model, Reitsma 2005",0.57,0.478,0.658,0.836,0.694,0.92,7.52,6.78,2.77,16.5,3.74,3.47,1.82,7.2,0.522,0.518,0.401,0.671,0.816,"Univariate model, Glas 2003",6.553,2.558,16.786,1.88,0.939,2.821,0,0,208.589,0,0,14.443,0,0.333,0.564,1,2
"IGFBP6","IGFBP6","Bivariate model, Reitsma 2005",0.663,0.415,0.845,0.731,0.49,0.885,6.01,5.34,2.06,13.8,2.59,2.41,1.4,4.83,0.478,0.471,0.247,0.752,0.754,"Univariate model, Glas 2003",5.759,2.166,15.316,1.751,0.773,2.729,0.888,0,8.461,0.942,0,2.909,4.971,6.314,0.389,6,7
"TNC","TNC","Bivariate model, Reitsma 2005",0.583,0.433,0.719,0.693,0.345,0.907,3.66,3.16,1.09,9.1,2.19,1.89,1.03,5.06,0.639,0.617,0.48,0.944,0.639,"Univariate model, Glas 2003",2.393,0.986,5.804,0.872,-0.014,1.759,0.267,0,34.94,0.517,0,5.911,17.804,3.65,0.302,3,4
"PSMA1","PSMA1","Bivariate model, Reitsma 2005",0.775,0.143,0.986,0.771,0.556,0.901,28.8,11.6,0.825,163,3.15,2.99,0.856,6.32,0.376,0.297,0.021,1.03,0.801,"Univariate model, Glas 2003",10.006,0.89,112.529,2.303,-0.117,4.723,2.198,0,3442.122,1.482,0,58.67,0,1,0.317,1,2
"MSN","MSN","Bivariate model, Reitsma 2005",0.812,0.435,0.96,0.726,0.438,0.9,17.8,11.4,1.81,72.2,3.22,2.82,1.32,7.5,0.311,0.268,0.06,0.787,0.823,"Univariate model, Glas 2003",10.049,2.131,47.397,2.307,0.756,3.859,2.009,0,60.854,1.417,0,7.801,40.957,6.775,0.148,4,5
"STOM","STOM","Bivariate model, Reitsma 2005",0.787,0.593,0.903,0.509,0.368,0.647,4.14,3.82,1.74,8.37,1.6,1.58,1.24,2.08,0.437,0.423,0.215,0.737,0.622,"Univariate model, Glas 2003",3.306,1.841,5.936,1.196,0.61,1.781,0,0,3.654,0,0,1.911,0,1.586,0.662,3,4
"CALR","CALR","Bivariate model, Reitsma 2005",0.749,0.5,0.899,0.496,0.286,0.706,3.09,2.93,1.54,5.56,1.49,1.46,1.17,2.02,0.522,0.514,0.289,0.801,0.647,"Univariate model, Glas 2003",3.719,1.477,9.366,1.313,0.39,2.237,0.377,0,18.978,0.614,0,4.356,13.071,4.601,0.331,4,5
"PSMA5","PSMA5","Bivariate model, Reitsma 2005",0.7,0.546,0.819,0.684,0.514,0.816,5.27,5.04,2.83,8.99,2.26,2.19,1.56,3.37,0.447,0.444,0.301,0.614,0.745,"Univariate model, Glas 2003",7.263,2.841,18.571,1.983,1.044,2.922,0.464,0,43.14,0.681,0,6.568,32.534,5.929,0.205,4,5
"PSMB4","PSMB4","Bivariate model, Reitsma 2005",0.599,0.334,0.817,0.862,0.547,0.97,22.7,9.37,0.691,128,6.61,4.32,0.801,26.2,0.52,0.468,0.192,1.16,0.792,"Univariate model, Glas 2003",7.567,0.656,87.323,2.024,-0.422,4.47,2.137,0,3844.121,1.462,0,62.001,0,1,0.317,1,2
"LAP3","LAP3","Bivariate model, Reitsma 2005",0.8,0.202,0.984,0.719,0.328,0.931,114,10.3,0.137,760,3.91,2.82,0.318,14.1,0.511,0.28,0.017,2.31,0.808,"Univariate model, Glas 2003",10.051,0.139,728.568,2.308,-1.976,6.591,8.455,0,9934.297,2.908,0,99.671,0,1,0.317,1,2
"TKT","TKT","Bivariate model, Reitsma 2005",0.684,0.511,0.818,0.647,0.539,0.742,4.35,3.97,1.74,9.1,1.96,1.93,1.33,2.75,0.5,0.49,0.28,0.776,0.654,"Univariate model, Glas 2003",4.143,1.829,9.384,1.421,0.604,2.239,0.288,0,30.833,0.537,0,5.553,26.051,4.057,0.255,3,4
"PRDX6","PRDX6","Bivariate model, Reitsma 2005",0.718,0.463,0.882,0.607,0.381,0.795,4.12,3.92,2.12,7.25,1.85,1.79,1.34,2.66,0.479,0.472,0.266,0.728,0.701,"Univariate model, Glas 2003",5.943,2.327,15.182,1.782,0.844,2.72,0.659,0,20.916,0.812,0,4.573,27.469,8.272,0.219,6,7
"BLVRB","BLVRB","Bivariate model, Reitsma 2005",0.654,0.497,0.783,0.559,0.374,0.729,2.46,2.39,1.52,3.78,1.51,1.47,1.17,2.03,0.628,0.626,0.476,0.794,0.641,"Univariate model, Glas 2003",2.398,1.526,3.768,0.875,0.423,1.327,0,0,0.35,0,0,0.591,0,1.248,0.94,5,6
"PDIA3","PDIA3","Bivariate model, Reitsma 2005",0.642,0.517,0.751,0.604,0.485,0.712,2.84,2.74,1.62,4.62,1.64,1.61,1.26,2.14,0.599,0.595,0.432,0.786,0.651,"Univariate model, Glas 2003",2.624,1.596,4.314,0.965,0.467,1.462,0,0,3.128,0,0,1.769,0,2.429,0.657,4,5
"HLA-B","HLA-B","Bivariate model, Reitsma 2005",0.743,0.662,0.81,0.813,0.706,0.887,13.4,12.6,6.32,25,4.11,3.96,2.51,6.58,0.321,0.318,0.232,0.427,0.851,"Univariate model, Glas 2003",12.946,6.323,26.508,2.561,1.844,3.277,0,0,0.355,0,0,0.596,0,0.273,0.965,3,4
"SERPINB1","SERPINB1","Bivariate model, Reitsma 2005",0.852,0.548,0.965,0.455,0.176,0.765,5.24,4.81,2.13,10.8,1.63,1.53,1.14,2.66,0.356,0.337,0.146,0.67,0.717,"Univariate model, Glas 2003",6.108,1.897,19.668,1.81,0.64,2.979,0.396,0,62.192,0.629,0,7.886,0,1.997,0.368,2,3
"CORO1A","CORO1A","Bivariate model, Reitsma 2005",0.69,0.553,0.8,0.585,0.485,0.677,3.31,3.13,1.64,5.99,1.67,1.65,1.26,2.17,0.539,0.532,0.344,0.776,0.612,"Univariate model, Glas 2003",2.864,1.733,4.734,1.052,0.55,1.555,0,0,2.668,0,0,1.634,0,3.862,0.425,4,5
"YWHAB","YWHAB","Bivariate model, Reitsma 2005",0.701,0.623,0.769,0.628,0.461,0.769,4.26,3.95,1.84,8.49,1.95,1.88,1.27,3.05,0.49,0.479,0.342,0.699,0.719,"Univariate model, Glas 2003",4.997,1.697,14.708,1.609,0.529,2.688,0.281,0,43.255,0.53,0,6.577,0,1.823,0.402,2,3
"PRDX2","PRDX2","Bivariate model, Reitsma 2005",0.684,0.557,0.788,0.503,0.41,0.597,2.25,2.19,1.38,3.46,1.38,1.37,1.15,1.63,0.634,0.63,0.453,0.839,0.585,"Univariate model, Glas 2003",2.487,1.568,3.944,0.911,0.45,1.372,0.052,0,5.01,0.228,0,2.238,4.67,7.343,0.394,7,8
"CDH5","CDH5","Bivariate model, Reitsma 2005",0.788,0.607,0.899,0.677,0.626,0.724,8.65,7.78,3.16,19.2,2.42,2.42,1.82,3.01,0.328,0.314,0.149,0.583,0.672,"Univariate model, Glas 2003",9.13,3,27.786,2.212,1.099,3.325,1.265,0,26.701,1.125,0,5.167,29.805,7.123,0.212,5,6
"RNASE4","RNASE4","Bivariate model, Reitsma 2005",0.656,0.448,0.818,0.589,0.364,0.782,2.84,2.74,1.59,4.7,1.63,1.58,1.19,2.36,0.595,0.593,0.408,0.795,0.659,"Univariate model, Glas 2003",2.988,1.623,5.5,1.095,0.484,1.705,0.141,0,3.882,0.375,0,1.97,0,4.967,0.42,5,6
"CHI3L1","CHI3L1","Bivariate model, Reitsma 2005",0.799,0.691,0.876,0.557,0.297,0.789,5.59,5,1.98,12.6,1.94,1.8,1.18,3.55,0.383,0.369,0.237,0.612,0.789,"Univariate model, Glas 2003",3.662,1.688,7.941,1.298,0.524,2.072,0.022,0,6.874,0.149,0,2.622,0,3.932,0.415,4,5
"TAGLN2","TAGLN2","Bivariate model, Reitsma 2005",0.687,0.56,0.791,0.568,0.464,0.666,2.98,2.88,1.73,4.8,1.59,1.58,1.28,1.99,0.558,0.554,0.388,0.753,0.641,"Univariate model, Glas 2003",4.224,1.885,9.467,1.441,0.634,2.248,0.588,0,19.052,0.767,0,4.365,36.452,11.015,0.138,7,8
"TALDO1","TALDO1","Bivariate model, Reitsma 2005",0.898,0.627,0.979,0.611,0.293,0.856,40.1,13.8,0.786,242,2.68,2.29,0.924,6.74,0.275,0.169,0.026,1.17,0.835,"Univariate model, Glas 2003",17.188,0.795,371.599,2.844,-0.229,5.918,5.433,0,326.489,2.331,0,18.069,3.429,2.071,0.355,2,3
"GP5","GP5","Bivariate model, Reitsma 2005",0.679,0.497,0.819,0.553,0.363,0.729,2.73,2.62,1.48,4.62,1.54,1.5,1.16,2.13,0.592,0.587,0.398,0.811,0.649,"Univariate model, Glas 2003",2.863,1.361,6.024,1.052,0.308,1.796,0.161,0,29.133,0.402,0,5.397,14.973,3.528,0.317,3,4
"CCT6A","CCT6A","Bivariate model, Reitsma 2005",0.508,0.421,0.595,0.725,0.548,0.851,2.99,2.72,1.16,6.37,1.95,1.84,1.08,3.48,0.694,0.681,0.526,0.936,0.541,"Univariate model, Glas 2003",2.87,1.159,7.108,1.054,0.148,1.961,0.028,0,2197.686,0.166,0,46.879,0,1,0.317,1,2
"MDH1","MDH1","Bivariate model, Reitsma 2005",0.837,0.591,0.948,0.476,0.325,0.631,5.59,4.65,1.41,15.3,1.59,1.57,1.14,2.17,0.38,0.347,0.12,0.821,0.553,"Univariate model, Glas 2003",5.841,1.108,30.788,1.765,0.103,3.427,1.897,0,63.084,1.377,0,7.943,18.566,3.684,0.298,3,4
"MDH2","MDH2","Bivariate model, Reitsma 2005",0.575,0.43,0.709,0.822,0.672,0.913,7.32,6.27,2.11,18.7,3.5,3.22,1.57,7.07,0.528,0.52,0.342,0.758,0.814,"Univariate model, Glas 2003",5.32,2.22,12.747,1.671,0.797,2.545,0,0,59.818,0,0,7.734,0,1.353,0.508,2,3
"PTGDS","PTGDS","Bivariate model, Reitsma 2005",0.428,0.207,0.682,0.905,0.714,0.973,7.62,7.17,3.6,14.2,4.8,4.44,2.17,9.52,0.633,0.637,0.419,0.823,0.756,"Univariate model, Glas 2003",7.198,3.403,15.224,1.974,1.225,2.723,0.157,0,5.804,0.396,0,2.409,0,4.967,0.42,5,6
"MCAM","MCAM","Bivariate model, Reitsma 2005",0.71,0.645,0.768,0.691,0.575,0.788,5.72,5.49,3.14,9.58,2.35,2.3,1.66,3.33,0.425,0.421,0.328,0.543,0.732,"Univariate model, Glas 2003",5.937,2.672,13.191,1.781,0.983,2.58,0.355,0,26.68,0.596,0,5.165,31.244,5.818,0.213,4,5
"SEPP1","SEPP1","Bivariate model, Reitsma 2005",0.831,0.757,0.886,0.312,0.261,0.369,2.32,2.24,1.32,3.77,1.21,1.21,1.07,1.35,0.552,0.541,0.352,0.812,0.487,"Univariate model, Glas 2003",2.526,1.236,5.165,0.927,0.212,1.642,0,0,17.326,0,0,4.162,0,0.063,0.802,1,2
"VASP","VASP","Bivariate model, Reitsma 2005",0.735,0.62,0.825,0.636,0.479,0.77,5.41,4.84,1.93,12.2,2.09,2.01,1.31,3.32,0.433,0.419,0.254,0.69,0.725,"Univariate model, Glas 2003",7.145,1.938,26.339,1.966,0.662,3.271,0.665,0,31.317,0.815,0,5.596,0,2.84,0.417,3,4
